ăb, prép. + Abl. |30|ăb|||
Ăcastus, i, m. |1|Ăcāstus|Ăcāst||
Acca, ae, f. |0|Ācca|Ācc||
accēdo, is, ere, cessi, cessum |19|āccēdo|āccēd|āccēss|āccēss
accendo, is, ere, di, sum |19|āccēndo|āccēnd|āccēnd|āccēns
acceptus, a, um |11|āccēptus|āccēpt|āccēptĭōr|āccēptīssĭm
accerso, is, ere, iui, itum |19|āccērso|āccērs|āccērsīv|āccērsīt
accessus, us, m. |9|āccēssus|āccēss||
accīdo, is, ere, cidi |19|āccīdo|āccīd|āccīd|āccīs
accĭdo, is, ere, cidi |19|āccĭdo|āccĭd|āccĭd|
accingo, is, ere, cinxi, cinctum |19|āccīngo|āccīng|āccīnx|āccīnct
accĭo, is, ire, acciui, accitum |21|āccĭo|ācc|āccīv|āccīt
accĭpĭo, is, ere, cepi, ceptum |20|āccĭpĭo|āccĭp|āccēp|āccēpt
accĭpĭter, tris, m |5|āccĭpĭtĕr|āccĭpī̆tr||
accītus, us, m. |9|āccītus|āccīt||
acclāmātĭo, ionis, f. |5|ācclāmātĭō̆|ācclāmātĭōn||
acclāmo, as, are |17|ācclāmo|ācclām|ācclāmāv|ācclāmāt
acclīnis, e |14|ācclīnĭs|ācclīn|ācclīnĭōr|ācclīnīssĭm
acclīno, as, are |17|ācclīno|ācclīn|ācclīnāv|ācclīnāt
accŏla, ae, m. |0|āccŏla|āccŏl||
accŏlo, is, ere |19|āccŏlo|āccŏl||
accommŏdo, as, are |17|āccōmmŏdo|āccōmmŏd|āccōmmŏdāv|āccōmmŏdāt
accommŏdus, a, um |11|āccōmmŏdus|āccōmmŏd|āccōmmŏdĭōr|āccōmmŏdīssĭm
Accō, onis, m. |5|Āccō|Āccōn||
accŭbo, as, are |17|āccŭbo|āccŭb|āccŭbāv|āccŭbāt
accumbo, is, ere, cubui, cubitum |19|āccūmbo|āccūmb|āccŭbu|āccŭbĭt
accūrātē, adv. |30|āccūrātē|||
accūrātiŭs, adv. |30|āccūrātĭŭs|||
accūrātus, a, um |11|āccūrātus|āccūrāt|āccūrātĭōr|āccūrātīssĭm
accurro, is, ere, curri, cursum |19|āccūrro|āccūrr|āccūrr|
accursus, us, m. |9|āccūrsus|āccūrs||
accūsātĭo, onis, f. |5|āccūsātĭō̆|āccūsātĭōn||
accūsātor, oris, m. |5|āccūsātŏr|āccūsātōr||
accūso, as, are |17|āccūso|āccūs|āccūsāv|āccūsāt
ăcerbĭtās, atis, f. |5|ăcērbĭtās|ăcērbĭtāt||
ăcerbiŭs, comparatif neutre ou adverbial de acerbus, a, um |30|ăcērbĭŭs|||
ăcerbus, a, um |11|ăcērbus|ăcērb|ăcērbĭōr|ăcērbīssĭm
ăcernus, a, um |11|ăcērnus|ăcērn|ăcērnĭōr|ăcērnīssĭm
Acerronia, ae, m. |0|Acērronĭa|Acērroni||
ăcervātim, adv. |30|ăcērvātĭm|||
ăcervus, i, m. |1|ăcērvus|ăcērv||
ācer, cris, cre |16|ācĕr|ācr|ācrĭōr|ācērrĭm
Ăcestēs, ae, m. |0|Ăcēstēs|Ăcēst||
ăcētum, i, n. |4|ăcētum|ăcēt||
Ăchāĭa, ae, f. |0|Ăchāĭa|Ăchāĭ||
Ăchĕron, ontis, m. |5|Ăchĕron|Ăchĕrōnt||
Ăchillas, ae, m. |0|Ăchīllas|Ăchīll||
Ăchilles, is, m. |6|Ăchīllĕs|Ăchīll||
Ăchīvus, a, um |11|Ăchīvus|Ăchīv|Ăchīvĭōr|Ăchīvīssĭm
ăcĭa, ae, f. |0|ăcĭa|ăcĭ||
ăcĭdus, a, um |11|ăcĭdus|ăcĭd|ăcĭdĭōr|ăcĭdīssĭm
ăcĭēs, ei, f. |10|ăcĭēs|ăcĭ||
ăcŏnītum, i, n. |4|ăcŏnītum|ăcŏnīt||
acquĭesco, is, ere, quieui, quietum |19|ācquĭēsco|ācquĭēsc|ācquĭēv|ācquĭēt
acquīro, is, ere, siui, situm |19|ācquīro|ācquīr|ācquīsīv|ācquīsīt
ācrĭter, adv. |30|ācrĭtĕr|||
ācrĭŭs, cf. acriter|30|ācrĭŭs|||
Actĭăcus, a, um |11|Āctĭăcus|Āctĭăc|Āctĭăcĭōr|Āctĭăcīssĭm
actĭo, onis, f. |5|āctĭō̆|āctĭōn||
actĭto, as, are |17|āctĭto|āctĭt|āctĭtāv|āctĭtāt
actor, oris, m. |5|āctŏr|āctōr||
actŭārĭus, a, um |11|āctŭārĭus|āctŭārĭ|āctŭārĭĭōr|āctŭārĭīssĭm
actŭārĭus, i, m. |1|āctŭārĭus|āctŭārĭ||
actum, i, n. |4|āctum|āct||
actus, us, m. |9|āctus|āct||
actūtum, adv. |30|āctūtŭm|||
ăcŭlĕus, i, m. |1|ăcŭlĕus|ăcŭlĕ||
ăcūmĕn, inis, n. |7|ăcūmĕn|ăcūmĭn||
ăcus, us, f. |9|ăcus|ăc||
ăcūtus, a, um |11|ăcūtus|ăcūt|ăcūtĭōr|ăcūtīssĭm
ac, conj. |30|ac|||
ădaequo, as, are |17|ădāequo|ădāequ|ădāequāv|ădāequāt
ădămo, as, are |17|ădămo|ădăm|ădămāv|ădămāt
Ādam, inv. |30|Ādăm|||
ădapto, as, are |17|ădāpto|ădāpt|ădāptāv|ădāptāt
adcĕlĕro, as, are |17|ādcĕlĕro|ādcĕlĕr|ādcĕlĕrāv|ādcĕlĕrāt
adclīvis, e |14|ādclīvĭs|ādclīv|ādclīvĭōr|ādclīvīssĭm
adcresco, is, ere, creui, cretum |19|ādcrēsco|ādcrēsc|ādcrēv|ādcrēt
adcurro, is, ere, curri, - |19|ādcūrro|ādcūrr|ādcūrr|
adcursus, us, m. |9|ādcūrsus|ādcūrs||
addĕcet, |30|āddĕcet|||
addīco, is, ere, dixi, dictum |19|āddīco|āddīc|āddīx|āddīct
addisco, is, ere, addidici |19|āddīsco|āddīsc||
addo, is, ere, didi, ditum |19|āddo|ādd|āddĭd|āddĭt
addūco, is, ere, duxi, ductum |19|āddūco|āddūc|āddūx|āddūct
adductus, a, um |11|āddūctus|āddūct|āddūctĭōr|āddūctīssĭm
ădemptĭo, ionis, f. |5|ădēmptĭō̆|ădēmptĭōn||
ădĕo, is, ire, ii, itum |23|ădĕo|ăd|ădi|ădĭt
ădĕō̆, adv. |30|ădĕō̆|||
ădeps, m. ou f. |5|ădēps|ădĭp||
ădĕquĭto, as, are |17|ădĕquĭto|ădĕquĭt|ădĕquĭtāv|ădĕquĭtāt
adfătim, adv. |30|ādfătĭm|||
adfātus, us, m. |9|ādfātus|ādfāt||
adfectĭo, onis, f. |5|ādfēctĭō̆|ādfēctĭōn||
adfecto, as, are |17|ādfēcto|ādfēct|ādfēctāv|ādfēctāt
adfectus, a, um |11|ādfēctus|ādfēct|ādfēctĭōr|ādfēctīssĭm
adfĕro, fers, ferre, adttuli att-, adlatum all- |19|ādfĕro|ādfĕr|ādtŭl|ā̆dlāt
adfĭcĭo, is, ere, feci, fectum |20|ādfĭcĭo|ādfĭc|ādfēc|ādfēct
adfīgo, is, ere, fixi, fixum |19|ādfīgo|ādfīg|ādfīx|ādfīx
adfingo, is, ere, finxi, fictum |19|ādfīngo|ādfīng|ādfīnx|ādfīct
adfīnis, e |14|ādfīnĭs|ādfīn|ādfīnĭōr|ādfīnīssĭm
adfīnĭtās, atis, f. |5|ādfīnĭtās|ādfīnĭtāt||
adfirmātĭo, ionis, f. |5|ādfīrmātĭō̆|ādfīrmātĭōn||
adfirmo, as, are |17|ādfīrmo|ādfīrm|ādfīrmāv|ādfīrmāt
adflātus, us, m. |9|ādflātus|ādflāt||
adflecto, is, ere |19|ādflēcto|ādflēct||
adflicto, as, are |17|ādflīcto|ādflīct|ādflīctāv|ādflīctāt
adflīgo, is, ere, flixi, flictum |19|ādflīgo|ādflīg|ādflīx|ādflīct
adflo, as, are |17|ādflo|ādfl|ādflāv|ādflāt
adflŭo, is, ere, fluxi, fluctum |19|ādflŭo|ādflŭ|ādflūx|ādflūct
adformīdo, as, are |17|ādfōrmīdo|ādfōrmīd|ādfōrmīdāv|ādfōrmīdāt
adfor, cf. affor|24|ādfor|ādf||ādfāt
adfrĭco, as, are, fricui, frictum, are |17|ādfrĭco|ādfrĭc|ādfrĭcu|ādfrĭcāt
adfundo, is, ere, fudi, fusum |19|ādfūndo|ādfūnd|ādfūd|ādfūs
Adgandestrius, i, m. |1|Ādgāndēstrĭus|Ādgāndēstri||
adgĕro, geris, gerere, gessi, gestum |19|ādgĕro|ādgĕr||ādgēst
adgestus, us, m. |9|ādgēstus|ādgēst||
adgnosco, is, ere, oui, itum |19|ādgnōsco|ādgnōsc|ādgnōv|ādgnĭt
adgrĕdĭor, eris, i, gressus sum |27|ādgrĕdĭor|ādgrĕd||ādgrēss
adgrĕgo, as, are |17|ādgrĕgo|ādgrĕg|ādgrĕgāv|ādgrĕgāt
adgŭberno, as, are |17|ādgŭbērno|ādgŭbērn|ādgŭbērnāv|ādgŭbērnāt
ădhaerĕo, as, ere, haesi, haesum |18|ădhāerĕo|ădhāer|ădhāes|ădhāes
ădhaeresco, is, ere, haesi, - |19|ădhāerēsco|ădhāerēsc|ădhāes|
Adherbal, alis, m. |5|Adhērbăl|Adhērbăl||
ădhĭbĕo, es, ere, ui, itum |18|ădhĭbĕo|ădhĭb|ădhĭbŭ|ădhĭbĭt
ădhortor, aris, ari |24|ădhōrtor|ădhōrt||ădhōrtāt
ădhuc, adv. |30|ădhuc|||
ădĭcĭo, is, ere, ieci, iectum |20|ădĭcĭo|ădĭc|ādjēc|ādjēct
ădĭgo, is, ere, egi, actum |19|ădĭgo|ădĭg|ădēg|ădāct
ădĭmo, is, ere, emi, emptum |19|ădĭmo|ădĭm|ădēm|ădēmpt
ădĭpiscor, eris, i, adeptus sum |26|ădĭpīscor|ădĭpīsc||ădēpt
ădĭtus, us, m. |9|ădĭtus|ădĭt||
adjăcĕo, as, ere, cui, - |18|ādjăcĕo|ādjăc|ādjăcŭ|
adjectĭo, ionis, f. |5|ādjēctĭō̆|ādjēctĭōn||
adjĭcĭo, is, ere, ieci, iectum |20|ādjĭcĭo|ādjĭc|ādjēc|ādjēct
adjūdĭco, as, are |17|ādjūdĭco|ādjūdĭc|ādjūdĭcāv|ādjūdĭcāt
adjūmentum, i, n. |4|ādjūmēntum|ādjūmēnt||
adjunctĭo, ionis, f. |5|ādjūnctĭō̆|ādjūnctĭōn||
adjungo, is, ere, iunxi, iunctum |19|ādjūngo|ādjūng|ādjūnx|ādjūnct
adjūro, as, are |17|ādjūro|ādjūr|ādjūrāv|ādjūrāt
adjūtōrĭum, i, n. |4|ādjūtōrĭum|ādjūtōrĭ||
adjūtor, oris, m. |5|ādjūtŏr|ādjūtōr||
adjūto, as, are |17|ādjūto|ādjūt|ādjūtāv|ādjūtāt
adjūtrix, icis, f. |5|ādjūtrīx|ādjūtrīc||
adjŭvo, as, are, iuui, iutum |17|ādjŭvo|ādjŭv|ādjūv|ādjūt
adlābor, eris, i, lapsus sum |26|ā̆dlābor|ā̆dlāb||ā̆dlāps
adlapsus, us, m. |9|ā̆dlāpsus|ā̆dlāps||
adlēgo, as, are |17|ā̆dlēgo|ā̆dlēg|ā̆dlēgāv|ā̆dlēgāt
adlĕgo, is, ere, legi, lectum |19|ā̆dlĕgo|ā̆dlĕg|ā̆dlēg|ā̆dlēct
adlĕvo, as, are |17|ā̆dlĕvo|ā̆dlĕv|ā̆dlĕvāv|ā̆dlĕvāt
adlĭgo, (all-), as, are |17|ā̆dlĭgo|ā̆dlĭg|ā̆dlĭgāv|ā̆dlĭgāt
adlĭno, is, ere, leui, litum |19|ā̆dlĭno|ā̆dlĭn||
adlŏquĭum, i, n. |4|ā̆dlŏquĭum|ā̆dlŏquĭ||
adlŏquor, eris, i, locutus sum |26|ā̆dlŏquor|ā̆dlŏqu||ā̆dlŏcūt, ā̆dlŏquūt, ā̆dlŏcūt
adlŭo, is, ere, lui |19|ā̆dlŭo|ā̆dlŭ|ā̆dlŭ|
admĭnĭcŭlum, i, n. |4|ādmĭnĭcŭlum|ādmĭnĭcŭl||
admĭnistrātĭo, ionis, f. |5|ādmĭnīstrātĭō̆|ādmĭnīstrātĭōn||
admĭnistro, as, are |17|ādmĭnīstro|ādmĭnīstr|ādmĭnīstrāv|ādmĭnīstrāt
admīrābĭlis, e |14|ādmīrābĭlĭs|ādmīrābĭl|ādmīrābĭlĭōr|ādmīrābīllĭm
admīrandus, a, um |11|ādmīrāndus|ādmīrānd|ādmīrāndĭōr|ādmīrāndīssĭm
admīrātĭo, onis, f. |5|ādmīrātĭō̆|ādmīrātĭōn||
admīrātor, oris, m. |5|ādmīrātŏr|ādmīrātōr||
admīror, aris, ari, atus sum |24|ādmīror|ādmīr||ādmīrāt
admiscĕo, es, ere, scui, mixtum |18|ādmīscĕo|ādmīsc|ādmīscu|ādmīxt
